,pointid,server,serve,serve_x,serve_y,server_shot_type,server_shot_hand,server_x,server_y,returner_x,returner_y,returner_shot_type,returner_shot_hand,num_strokes,is_game_point,is_break_point,winner
0,0,Djokovic,first,1.86,16.8,topspin,forehand,1.42,2.33,0.05,25.59,slice,backhand,3,0,0,Djokovic
1,1,Djokovic,second,7.05,16.97,topspin,backhand,1.66,0.43,8.14,27.07,topspin,forehand,4,0,0,Djokovic
2,3,Djokovic,first,8.04,17.8,topspin,backhand,1.11,-0.62,3.03,27.07,slice,backhand,10,0,0,Djokovic
3,4,Nadal,second,4.44,16.24,topspin,forehand,2.72,-1.83,1.54,25.97,topspin,forehand,7,0,0,Djokovic
4,5,Nadal,first,5.71,16.4,topspin,forehand,1.03,-1.19,9.54,24.91,topspin,backhand,12,0,0,Djokovic
5,6,Nadal,first,4.66,16.24,topspin,forehand,4.07,4.39,4.0,25.84,slice,backhand,4,0,0,Nadal
6,7,Nadal,second,5.83,16.72,topspin,backhand,7.03,-0.55,7.71,25.84,topspin,backhand,13,0,0,Djokovic
7,8,Nadal,first,0.98,17.3,topspin,forehand,9.3,2.77,-0.69,27.45,slice,forehand,3,0,1,Djokovic
8,9,Djokovic,first,5.58,5.41,serve,forehand,3.52,21.85,7.38,-2.53,topspin,forehand,2,0,0,Djokovic
9,10,Djokovic,first,3.87,10.83,topspin,forehand,5.04,29.82,2.51,0.97,topspin,forehand,4,0,0,Djokovic
10,11,Djokovic,first,5.14,6.51,topspin,backhand,4.71,21.65,7.15,-0.22,slice,backhand,6,0,0,Djokovic
11,13,Nadal,first,6.68,4.64,volley,backhand,2.94,17.43,3.23,7.11,topspin,backhand,12,0,0,Djokovic
12,14,Nadal,second,2.77,6.71,serve,forehand,5.14,24.45,0.97,0.61,topspin,forehand,2,0,0,Nadal
13,15,Nadal,first,7.55,6.66,topspin,backhand,-0.01,22.69,4.07,-0.08,topspin,backhand,4,0,0,Djokovic
14,16,Nadal,first,1.01,7.63,topspin,forehand,9.74,23.77,-1.1,1.22,topspin,backhand,3,0,0,Nadal
15,17,Nadal,first,5.03,6.32,topspin,backhand,6.02,26.57,1.49,-0.02,topspin,backhand,7,0,0,Djokovic
16,18,Nadal,first,3.07,6.41,serve,forehand,6.09,24.11,0.76,-0.02,topspin,forehand,2,0,0,Nadal
17,19,Nadal,first,7.98,5.93,serve,forehand,3.62,24.79,8.98,-1.95,topspin,forehand,2,0,0,Nadal
18,20,Nadal,first,1.16,7.9,topspin,forehand,6.25,23.89,6.37,-1.56,topspin,forehand,4,0,1,Nadal
19,22,Djokovic,first,4.53,17.89,topspin,backhand,1.83,0.09,2.75,26.09,topspin,backhand,6,0,0,Djokovic
20,24,Djokovic,first,7.15,17.46,topspin,backhand,2.57,1.07,7.98,26.82,topspin,forehand,5,0,0,Djokovic
